NOC,Team,Games,Year,GDP,Population,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,Summer,Home_Field_Adv,Golds,Silvers,Bronzes,Total Medals
GRN,Grenada,2008 Summer,2008,0.826,0.105,2,7,1.143,26.0,177.5,64.0,1,0,0,0,0,0
GUA,Guatemala,2008 Summer,2008,40.242,14.006,9,12,1.0,25.0,175.0,66.0,1,0,0,0,0,0
GUI,Guinea,2008 Summer,2008,6.966,10.315,2,4,1.0,24.5,180.5,69.0,1,0,0,0,0,0
GUY,Guyana,2008 Summer,2008,2.491,0.748,2,3,1.0,30.0,168.0,55.0,1,0,0,0,0,0
HAI,Haiti,2008 Summer,2008,10.389,9.647,3,6,1.0,28.5,176.5,68.0,1,0,0,0,0,0
HKG,Hong Kong,2008 Summer,2008,219.279,6.964,11,33,1.03,25.0,170.0,61.0,1,0,0,0,0,0
HON,Honduras,2008 Summer,2008,13.79,7.981,5,8,3.125,22.0,178.0,75.0,1,0,0,0,0,0
HUN,Hungary,2008 Summer,2008,158.136,10.045,20,126,1.349,25.0,180.0,72.5,1,0,16,8,3,27
INA,Indonesia,2008 Summer,2008,558.582,231.006,7,17,1.412,25.0,169.0,63.0,1,0,2,2,3,7
IND,India,2008 Summer,2008,1224.1,1200.67,12,48,1.104,25.0,173.0,69.0,1,0,1,0,2,3
IRI,Iran,2008 Summer,2008,405.568,72.266,12,40,1.35,25.0,180.0,80.0,1,0,1,0,1,2
IRL,Ireland,2008 Summer,2008,275.894,4.516,12,42,1.286,27.0,179.0,70.0,1,0,0,1,2,3
IRQ,Iraq,2008 Summer,2008,131.614,29.43,2,3,1.333,26.0,184.5,87.5,1,0,0,0,0,0
ISL,Iceland,2008 Summer,2008,18.075,0.315,5,18,1.5,25.0,187.0,86.0,1,0,0,14,0,14
ISR,Israel,2008 Summer,2008,216.338,7.307,12,45,0.933,22.0,175.0,68.0,1,0,0,0,1,1
ITA,Italy,2008 Summer,2008,2408.39,59.034,29,190,1.747,27.0,177.0,70.0,1,0,8,14,20,42
JAM,Jamaica,2008 Summer,2008,13.743,2.677,4,28,1.679,25.0,175.0,68.0,1,0,5,3,5,13
JOR,Jordan,2008 Summer,2008,22.648,6.49,5,6,1.0,20.0,173.5,68.0,1,0,0,0,0,0
JPN,Dow Jones,2008 Summer,2008,5106.68,127.692,1,1,1.0,58.0,160.0,53.0,1,0,0,0,0,0
JPN,Japan,2008 Summer,2008,5106.68,127.692,31,175,1.891,25.0,168.0,62.0,1,0,23,15,13,51
JPN,Rambo,2008 Summer,2008,5106.68,127.692,1,1,1.0,35.0,162.0,50.0,1,0,0,0,0,0
JPN,Whisper,2008 Summer,2008,5106.68,127.692,1,1,1.0,67.0,168.0,62.0,1,0,0,0,0,0
KAZ,Kazakhstan,2008 Summer,2008,133.442,15.982,19,106,1.226,25.0,177.0,70.0,1,0,2,4,7,13
KEN,Kenya,2008 Summer,2008,35.895,36.7,5,24,1.708,24.0,165.0,53.5,1,0,6,4,4,14
KGZ,Kyrgyzstan,2008 Summer,2008,5.139,5.289,9,22,0.909,24.0,174.5,69.5,1,0,0,1,1,2
KIR,Kiribati,2008 Summer,2008,0.144,0.099,2,2,1.0,23.5,174.0,93.0,1,0,0,0,0,0
KOR,South Korea,2008 Summer,2008,1049.17,49.055,27,142,1.845,25.0,173.0,67.5,1,0,40,11,26,77
KSA,Saudi Arabia,2008 Summer,2008,519.797,25.787,3,10,1.3,25.0,178.0,69.0,1,0,0,0,0,0
KUW,Kuwait,2008 Summer,2008,147.402,3.442,5,7,1.143,24.5,179.5,81.5,1,0,0,0,0,0
LAO,Laos,2008 Summer,2008,5.948,6.047,2,4,1.0,19.0,159.0,51.5,1,0,0,0,0,0
LAT,Latvia,2008 Summer,2008,35.924,2.192,11,33,1.424,24.0,184.0,82.0,1,0,1,1,1,3
LBA,Libya,2008 Summer,2008,73.917,5.88,4,6,1.0,19.5,168.0,68.5,1,0,0,0,0,0
LBR,Liberia,2008 Summer,2008,1.677,3.369,1,3,0.667,32.0,170.0,54.0,1,0,0,0,0,0
LCA,Saint Lucia,2008 Summer,2008,1.438,0.17,2,4,1.0,24.0,174.5,59.0,1,0,0,0,0,0
LES,Lesotho,2008 Summer,2008,1.652,1.902,1,2,2.0,30.0,159.0,62.0,1,0,0,0,0,0
LIB,Lebanon,2008 Summer,2008,29.119,4.765,3,5,1.0,22.0,176.0,74.0,1,0,0,0,0,0
LTU,Lithuania,2008 Summer,2008,48.03,3.198,16,54,1.315,25.0,179.0,72.0,1,0,0,2,3,5
LUX,Luxembourg,2008 Summer,2008,56.072,0.484,7,17,0.765,23.0,176.0,70.0,1,0,0,0,0,0
MAD,Madagascar,2008 Summer,2008,10.725,19.996,4,6,1.0,24.5,164.5,60.0,1,0,0,0,0,0
MAR,Morocco,2008 Summer,2008,92.507,31.391,7,26,1.385,27.0,174.0,62.0,1,0,0,1,1,2
MAS,Malaysia,2008 Summer,2008,241.763,27.6,10,27,1.074,24.0,168.0,68.0,1,0,0,1,0,1
MAW,Malawi,2008 Summer,2008,5.321,14.846,2,2,1.0,19.5,170.0,61.5,1,0,0,0,0,0
MDA,Moldova,2008 Summer,2008,6.055,2.879,8,28,1.036,26.5,178.0,72.5,1,0,0,0,1,1
MDV,Maldives,2008 Summer,2008,2.272,0.31,2,4,1.0,18.0,173.0,57.5,1,0,0,0,0,0
MEX,Mexico,2008 Summer,2008,1109.99,110.405,23,73,1.137,25.0,169.0,62.0,1,0,2,0,2,4
MGL,Mongolia,2008 Summer,2008,5.623,2.666,7,28,0.964,26.5,169.5,63.0,1,0,2,1,0,3
MHL,Marshall Islands,2008 Summer,2008,0.152,0.052,3,4,1.0,19.0,173.0,64.5,1,0,0,0,0,0
MKD,Macedonia,2008 Summer,2008,9.912,2.049,5,7,1.0,22.0,174.0,70.0,1,0,0,0,0,0
MLI,Mali,2008 Summer,2008,9.837,13.651,4,5,1.0,27.0,182.0,68.0,1,0,0,0,0,0
MLT,Malta,2008 Summer,2008,9.127,0.408,4,6,1.0,22.5,176.0,69.5,1,0,0,0,0,0
MNE,Montenegro,2008 Summer,2008,4.564,0.617,6,8,2.375,25.0,187.0,95.0,1,0,0,0,0,0
MOZ,Mozambique,2008 Summer,2008,12.64,22.995,3,4,1.0,20.5,174.0,64.5,1,0,0,0,0,0
MRI,Mauritius,2008 Summer,2008,9.99,1.244,6,10,1.0,24.5,175.0,63.0,1,0,0,0,1,1
MTN,Mauritania,2008 Summer,2008,5.138,3.119,1,2,1.0,20.5,169.5,60.0,1,0,0,0,0,0
MYA,Myanmar,2008 Summer,2008,25.47,48.496,5,7,0.857,22.0,170.0,63.0,1,0,0,0,0,0
NAM,Namibia,2008 Summer,2008,8.496,2.024,4,9,1.0,27.5,170.0,62.5,1,0,0,0,0,0
NCA,Nicaragua,2008 Summer,2008,8.497,5.669,4,6,0.833,23.5,172.5,65.5,1,0,0,0,0,0
NED,Nadine,2008 Summer,2008,951.766,16.405,1,1,1.0,34.0,190.0,75.0,1,0,0,1,0,1
NED,Netherlands,2008 Summer,2008,951.766,16.405,20,97,2.443,26.0,180.5,72.5,1,0,39,15,4,58
NED,Salinero,2008 Summer,2008,951.766,16.405,1,1,1.0,40.0,172.0,56.0,1,0,0,1,0,1
NED,Sunrise,2008 Summer,2008,951.766,16.405,1,1,1.0,31.0,178.0,61.0,1,0,0,1,0,1
NEP,Nepal,2008 Summer,2008,14.342,26.667,6,8,1.0,29.0,162.5,60.5,1,0,0,0,0,0
NGR,Nigeria,2008 Summer,2008,330.26,150.27,9,33,2.121,22.0,172.0,69.0,1,0,0,16,7,23
NOR,Norway,2008 Summer,2008,462.25,4.787,14,46,1.609,27.0,176.0,70.0,1,0,10,4,1,15
NRU,Nauru,2008 Summer,2008,0.037,0.009,1,1,1.0,21.0,175.0,148.0,1,0,0,0,0,0
NZL,New Zealand,2008 Summer,2008,135.36,4.262,17,78,2.282,26.0,179.0,74.0,1,0,4,2,9,15
OMA,Oman,2008 Summer,2008,60.905,2.785,3,4,1.0,21.0,172.0,66.5,1,0,0,0,0,0
PAK,Pakistan,2008 Summer,2008,169.726,164.66,4,7,3.0,24.5,172.0,64.0,1,0,0,0,0,0
PAN,Panama,2008 Summer,2008,25.156,3.538,3,5,1.0,25.0,175.0,60.0,1,0,1,0,0,1
PAR,Paraguay,2008 Summer,2008,24.577,6.072,5,7,1.0,20.0,174.0,70.0,1,0,0,0,0,0
PER,Peru,2008 Summer,2008,121.754,28.807,10,12,1.0,23.0,175.5,70.5,1,0,0,0,0,0
PHI,Philippines,2008 Summer,2008,181.007,89.98,8,17,0.882,22.0,170.0,63.0,1,0,0,0,0,0
PLW,Palau,2008 Summer,2008,0.198,0.019,3,5,1.0,23.0,163.0,55.0,1,0,0,0,0,0
PNG,Papua New Guinea,2008 Summer,2008,11.671,6.196,5,9,0.778,26.0,175.0,63.0,1,0,0,0,0,0
POL,Poland,2008 Summer,2008,533.6,38.116,23,161,1.578,26.0,180.0,72.5,1,0,6,13,1,20
POR,Galopin De La Font,2008 Summer,2008,263.388,10.558,1,1,1.0,41.0,178.0,67.0,1,0,0,0,0,0
POR,Notavel,2008 Summer,2008,263.388,10.558,1,1,1.0,48.0,169.0,62.0,1,0,0,0,0,0
POR,Oxalis,2008 Summer,2008,263.388,10.558,1,1,1.0,41.0,170.0,61.0,1,0,0,0,0,0
POR,Portugal,2008 Summer,2008,263.388,10.558,16,64,1.203,26.0,174.0,67.0,1,0,1,1,0,2
PUR,Puerto Rico,2008 Summer,2008,93.639,3.761,8,31,0.71,22.0,175.0,68.0,1,0,0,0,0,0
QAT,Qatar,2008 Summer,2008,112.621,1.554,6,14,1.429,23.5,172.5,61.5,1,0,0,0,0,0
ROU,Romania,2008 Summer,2008,214.317,20.636,16,80,1.262,24.0,170.0,64.0,1,0,5,1,16,22
RSA,South Africa,2008 Summer,2008,287.095,49.795,20,89,1.506,24.0,175.0,71.0,1,0,0,1,0,1
RUS,Russia,2008 Summer,2008,1779.11,142.737,29,242,1.872,25.0,177.0,68.0,1,0,43,46,53,142
RWA,Rwanda,2008 Summer,2008,5.201,9.5,2,4,1.0,25.0,174.0,60.5,1,0,0,0,0,0
SAM,Samoa,2008 Summer,2008,0.667,0.183,5,7,0.857,29.0,175.0,86.0,1,0,0,0,0,0
SEN,Senegal,2008 Summer,2008,16.852,12.005,7,12,0.917,23.0,170.5,62.0,1,0,0,0,0,0
SEY,Seychelles,2008 Summer,2008,0.998,0.087,6,8,1.0,27.0,175.0,80.0,1,0,0,0,0,0
SGP,Singapore,2008 Summer,2008,193.617,4.839,6,25,1.0,23.0,172.0,60.0,1,0,0,3,0,3
SLE,Sierra Leone,2008 Summer,2008,2.511,6.134,2,3,1.0,21.0,160.0,48.0,1,0,0,0,0,0
SLO,Slovenia,2008 Summer,2008,55.773,2.01,11,60,1.017,26.0,177.0,72.0,1,0,1,2,2,5
SMR,San Marino,2008 Summer,2008,2.403,0.03,3,3,1.0,24.0,177.0,70.0,1,0,0,0,0,0
SOL,Solomon Islands,2008 Summer,2008,0.699,0.504,2,2,1.0,23.0,161.0,61.0,1,0,0,0,0,0
SRB,Serbia,2008 Summer,2008,52.13,7.35,11,42,2.071,24.0,187.0,80.0,1,0,0,1,14,15
SRI,Sri Lanka,2008 Summer,2008,46.608,19.984,6,9,0.889,26.0,168.0,62.0,1,0,0,0,0,0
STP,Sao Tome and Principe,2008 Summer,2008,0.188,0.167,2,4,0.75,19.0,173.0,67.5,1,0,0,0,0,0
SUD,Sudan,2008 Summer,2008,64.833,38.126,2,7,1.143,21.0,172.5,60.0,1,0,0,1,0,1
SUI,Switzerland,2008 Summer,2008,570.096,7.593,20,75,1.107,27.0,175.0,68.0,1,0,3,1,7,11
SUR,Suriname,2008 Summer,2008,3.533,0.517,2,4,1.0,19.0,169.0,65.0,1,0,0,0,0,0
SVK,Slovakia,2008 Summer,2008,97.17,5.376,12,51,1.059,27.5,181.0,72.5,1,0,4,5,1,10
SWE,Briar,2008 Summer,2008,517.706,9.256,1,1,1.0,47.0,186.0,73.0,1,0,0,0,0,0
SWE,Floresco,2008 Summer,2008,517.706,9.256,1,1,1.0,32.0,186.0,79.0,1,0,0,0,0,0
SWE,Solos Carex,2008 Summer,2008,517.706,9.256,1,1,1.0,41.0,167.0,60.0,1,0,0,0,0,0
SWE,Sweden,2008 Summer,2008,517.706,9.256,20,80,1.525,27.0,177.0,69.0,1,0,0,5,2,7
SWZ,Swaziland,2008 Summer,2008,3.298,1.026,2,4,1.0,20.0,174.0,60.0,1,0,0,0,0,0
SYR,Syria,2008 Summer,2008,52.631,20.581,5,7,1.0,22.0,170.0,65.0,1,0,0,0,0,0
TAN,Tanzania,2008 Summer,2008,27.762,40.64,2,6,1.333,27.0,169.5,62.5,1,0,0,0,0,0
TGA,Tonga,2008 Summer,2008,0.344,0.102,2,3,1.0,28.0,180.0,97.0,1,0,0,0,0,0
THA,Thailand,2008 Summer,2008,290.97,66.531,12,43,1.093,24.0,167.0,57.0,1,0,2,2,0,4
TJK,Tajikistan,2008 Summer,2008,5.135,7.31,8,16,0.938,25.5,170.0,71.5,1,0,0,1,1,2
TKM,Turkmenistan,2008 Summer,2008,21.516,4.946,6,9,1.111,23.5,165.0,66.0,1,0,0,0,0,0
TLS,Timor Leste,2008 Summer,2008,0.648,1.034,1,1,1.0,24.0,151.0,48.0,1,0,0,0,0,0
TOG,Togo,2008 Summer,2008,4.483,6.083,4,4,1.0,27.5,176.0,78.0,1,0,0,0,1,1
TTO,Trinidad and Tobago,2008 Summer,2008,28.233,1.314,4,18,1.333,24.0,179.0,74.0,1,0,5,1,0,6
TUN,Tunisia,2008 Summer,2008,44.844,10.407,10,27,0.926,23.5,174.5,64.0,1,0,1,0,0,1
TUR,Turkey,2008 Summer,2008,770.82,71.517,12,67,1.0,25.0,172.0,66.0,1,0,1,3,3,7
TUV,Tuvalu,2008 Summer,2008,0.031,0.01,1,1,1.0,21.0,163.0,69.0,1,0,0,0,0,0
UAE,United Arab Emirates,2008 Summer,2008,315.475,8.074,6,8,0.875,24.0,175.0,69.0,1,0,0,0,0,0
UGA,Uganda,2008 Summer,2008,22.419,28.578,4,10,1.1,23.0,173.0,60.0,1,0,0,0,0,0
UKR,Ukraine,2008 Summer,2008,181.313,45.963,24,177,1.373,24.0,175.0,66.0,1,0,10,5,16,31
URU,Uruguay,2008 Summer,2008,32.988,3.363,6,12,1.0,24.0,178.0,71.0,1,0,0,0,0,0
USA,Brentina,2008 Summer,2008,14712.83,304.718,1,1,1.0,53.0,152.0,49.0,1,0,0,0,0,0
USA,Mythilus,2008 Summer,2008,14712.83,304.718,1,1,1.0,30.0,178.0,59.0,1,0,0,0,0,0
USA,Ravel,2008 Summer,2008,14712.83,304.718,1,1,1.0,43.0,173.0,68.0,1,0,0,0,0,0
USA,United States,2008 Summer,2008,14712.83,304.718,32,257,2.284,25.0,178.0,73.0,1,0,127,110,79,316
UZB,Uzbekistan,2008 Summer,2008,33.84,27.072,14,67,0.836,24.0,175.0,70.0,1,0,1,2,3,6
VAN,Vanuatu,2008 Summer,2008,0.582,0.229,2,2,1.0,21.5,171.5,69.5,1,0,0,0,0,0
VEN,Venezuela,2008 Summer,2008,306.764,27.689,21,82,1.305,24.0,172.0,68.0,1,0,0,0,1,1
VIE,Vietnam,2008 Summer,2008,124.774,86.243,8,17,0.706,23.0,165.0,57.0,1,0,0,1,0,1
YEM,Yemen,2008 Summer,2008,26.911,22.978,3,7,0.571,21.0,162.0,54.0,1,0,0,0,0,0
ZAM,Zambia,2008 Summer,2008,17.914,13.115,4,7,1.0,23.0,168.0,60.0,1,0,0,0,0,0
ZIM,Zimbabwe,2008 Summer,2008,6.707,12.12,5,13,0.846,24.5,171.5,64.0,1,0,1,3,0,4
ALB,Albania,2010 Winter,2010,11.937,2.913,1,2,0.5,23.0,180.0,74.0,0,0,0,0,0,0
ALG,Algeria,2010 Winter,2010,161.207,35.978,1,1,1.0,17.0,170.0,65.0,0,0,0,0,0,0
ARG,Argentina,2010 Winter,2010,424.729,40.788,3,11,0.636,27.0,168.0,61.0,0,0,0,0,0,0
ARM,Armenia,2010 Winter,2010,9.26,2.966,2,6,0.667,21.0,171.0,68.0,0,0,0,0,0,0
AUS,Australia,2010 Winter,2010,1251.85,22.172,11,32,1.25,26.0,174.0,70.0,0,0,2,1,0,3
AUT,Austria,2010 Winter,2010,392.595,8.361,13,43,1.744,27.5,180.0,72.0,0,0,11,9,6,26
AZE,Azerbaijan,2010 Winter,2010,52.913,8.998,1,4,0.5,33.0,178.0,70.0,0,0,0,0,0,0
BEL,Belgium,2010 Winter,2010,481.814,10.84,4,8,1.0,27.5,178.0,73.0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,2010 Winter,2010,17.164,3.704,3,8,0.625,20.0,170.0,62.5,0,0,0,0,0,0
BLR,Belarus,2010 Winter,2010,57.22,9.5,6,28,1.679,27.0,176.0,70.0,0,0,1,1,1,3
BRA,Brazil,2010 Winter,2010,2208.7,194.891,3,7,0.714,22.0,170.0,61.0,0,0,0,0,0,0
BUL,Bulgaria,2010 Winter,2010,50.383,7.505,6,26,0.731,24.0,174.0,65.0,0,0,0,0,0,0
CAN,Canada,2010 Winter,2010,1617.35,33.958,15,83,2.422,25.5,175.0,72.0,0,1,67,15,8,90
CHI,Chile,2010 Winter,2010,218.321,17.064,1,8,0.375,21.0,175.0,72.5,0,0,0,0,0,0
CHN,China,2010 Winter,2010,6033.81,1340.91,10,44,1.932,24.0,168.0,62.0,0,0,9,3,7,19
COL,Colombia,2010 Winter,2010,286.499,45.51,1,2,0.5,26.0,161.0,52.0,0,0,0,0,0,0
CRO,Croatia,2010 Winter,2010,59.919,4.418,4,15,1.267,23.0,181.0,80.0,0,0,0,2,1,3
CYP,Cyprus,2010 Winter,2010,25.753,0.819,1,4,0.5,20.0,168.0,65.5,0,0,0,0,0,0
CZE,Czech Republic,2010 Winter,2010,209.07,10.462,13,59,1.525,27.0,179.0,70.0,0,0,2,0,7,9
DEN,Denmark,2010 Winter,2010,321.995,5.535,7,16,1.062,32.0,175.0,74.0,0,0,0,0,0,0
ESP,Spain,2010 Winter,2010,1423.27,46.562,7,23,0.783,23.0,173.0,65.0,0,0,0,0,0,0
EST,Estonia,2010 Winter,2010,19.73,1.331,4,26,1.154,26.0,175.0,70.0,0,0,0,1,0,1
ETH,Ethiopia,2010 Winter,2010,26.887,82.912,1,1,1.0,35.0,177.0,65.0,0,0,0,0,0,0
FIN,Finland,2010 Winter,2010,249.628,5.351,10,41,2.22,27.0,174.5,68.0,0,0,0,1,46,47
FRA,France,2010 Winter,2010,2647.35,62.765,13,63,1.651,25.0,174.5,66.0,0,0,2,6,6,14
GBR,Great Britain,2010 Winter,2010,2484.02,62.76,11,43,1.186,25.0,177.0,75.0,0,0,1,0,0,1
GEO,Georgia,2010 Winter,2010,12.243,3.8,2,6,1.0,16.0,175.0,70.0,0,0,0,0,0,0
GER,Germany,2010 Winter,2010,3402.44,80.285,15,77,1.935,28.0,179.0,72.0,0,0,15,24,15,54
GHA,Ghana,2010 Winter,2010,43.043,24.659,1,1,1.0,35.0,180.0,85.0,0,0,0,0,0,0
GRE,Greece,2010 Winter,2010,297.368,11.119,3,10,0.7,24.0,178.0,73.0,0,0,0,0,0,0
HKG,Hong Kong,2010 Winter,2010,228.639,7.052,1,3,0.333,27.0,175.0,54.0,0,0,0,0,0,0
HUN,Hungary,2010 Winter,2010,131.917,10.014,5,20,0.75,22.0,174.0,72.0,0,0,0,0,0,0
IND,India,2010 Winter,2010,1708.46,1234.28,3,3,1.0,25.0,175.0,74.0,0,0,0,0,0,0
IRI,Iran,2010 Winter,2010,486.774,74.157,2,5,0.8,22.0,177.0,64.0,0,0,0,0,0,0
IRL,Ireland,2010 Winter,2010,222.723,4.568,4,6,1.0,25.0,174.0,70.0,0,0,0,0,0,0
ISL,Iceland,2010 Winter,2010,13.751,0.318,1,5,0.8,20.0,178.0,85.0,0,0,0,0,0,0
ISR,Israel,2010 Winter,2010,234.0,7.621,2,3,1.0,28.5,180.5,74.0,0,0,0,0,0,0
ITA,Italy,2010 Winter,2010,2137.85,59.707,13,69,1.58,27.0,173.0,67.0,0,0,1,1,3,5
JAM,Jamaica,2010 Winter,2010,13.193,2.696,1,1,1.0,23.0,175.0,95.0,0,0,0,0,0,0
JPN,Japan,2010 Winter,2010,5759.07,127.594,14,61,1.492,25.0,167.0,60.0,0,0,0,5,2,7
KAZ,Kazakhstan,2010 Winter,2010,148.047,16.441,8,44,0.841,23.5,176.0,68.0,0,0,0,1,0,1
KGZ,Kyrgyzstan,2010 Winter,2010,4.794,5.418,2,3,0.667,26.0,182.0,75.0,0,0,0,0,0,0
KOR,South Korea,2010 Winter,2010,1143.57,49.554,12,38,1.184,22.0,172.0,60.0,0,0,6,10,2,18
LAT,Latvia,2010 Winter,2010,23.911,2.121,9,29,1.828,25.0,180.0,78.0,0,0,0,3,0,3
LIB,Lebanon,2010 Winter,2010,38.444,4.953,1,5,0.6,21.5,168.0,60.0,0,0,0,0,0,0
LTU,Lithuania,2010 Winter,2010,37.195,3.097,3,10,0.6,25.0,178.0,70.0,0,0,0,0,0,0
MAR,Morocco,2010 Winter,2010,93.217,32.182,1,2,0.5,32.0,188.0,90.0,0,0,0,0,0,0
MDA,Moldova,2010 Winter,2010,6.977,2.873,4,10,0.7,26.0,178.0,70.0,0,0,0,0,0,0
MEX,Mexico,2010 Winter,2010,1057.8,113.749,1,2,0.5,51.0,183.0,77.0,0,0,0,0,0,0
MGL,Mongolia,2010 Winter,2010,7.185,2.761,1,2,1.0,25.0,171.5,63.5,0,0,0,0,0,0
MKD,Macedonia,2010 Winter,2010,9.415,2.057,2,4,0.75,20.0,180.0,78.0,0,0,0,0,0,0
MNE,Montenegro,2010 Winter,2010,4.146,0.619,1,2,0.5,19.0,178.0,84.0,0,0,0,0,0,0
NED,Netherlands,2010 Winter,2010,848.073,16.575,4,22,1.455,25.0,180.0,73.0,0,0,4,1,6,11
NEP,Nepal,2010 Winter,2010,18.293,27.013,1,1,1.0,40.0,170.0,70.0,0,0,0,0,0,0
NOR,Norway,2010 Winter,2010,428.757,4.908,11,54,1.463,27.0,180.0,73.0,0,0,15,11,8,34
NZL,New Zealand,2010 Winter,2010,145.288,4.353,8,17,0.941,23.0,175.0,71.0,0,0,0,0,0,0
PAK,Pakistan,2010 Winter,2010,176.738,171.73,1,1,1.0,23.0,168.0,55.0,0,0,0,0,0,0
PER,Peru,2010 Winter,2010,148.931,29.462,2,5,0.6,18.0,168.0,60.0,0,0,0,0,0,0
POL,Poland,2010 Winter,2010,479.834,38.023,11,50,0.92,24.0,171.0,59.0,0,0,1,3,4,8
POR,Portugal,2010 Winter,2010,238.308,10.573,1,1,1.0,36.0,165.0,60.0,0,0,0,0,0,0
ROU,Romania,2010 Winter,2010,166.309,20.295,9,26,1.077,25.0,172.0,68.0,0,0,0,0,0,0
RSA,South Africa,2010 Winter,2010,375.304,51.329,2,2,1.0,26.5,180.0,73.5,0,0,0,0,0,0
RUS,Russia,2010 Winter,2010,1633.11,142.865,15,77,2.273,25.0,175.0,68.0,0,0,6,5,14,25
SLO,Slovenia,2010 Winter,2010,48.248,2.047,10,41,1.146,26.0,175.0,68.0,0,0,0,2,1,3
SMR,San Marino,2010 Winter,2010,1.883,0.031,1,1,1.0,22.0,180.0,75.0,0,0,0,0,0,0
SRB,Serbia,2010 Winter,2010,41.397,7.291,4,8,1.25,21.0,176.0,73.0,0,0,0,0,0,0
SUI,Switzerland,2010 Winter,2010,602.899,7.786,14,56,2.393,26.0,177.5,72.0,0,0,6,0,6,12
SVK,Slovakia,2010 Winter,2010,90.473,5.39,8,34,2.0,27.0,176.0,70.0,0,0,1,1,1,3
SWE,Sweden,2010 Winter,2010,495.813,9.416,9,44,2.295,26.0,178.0,75.0,0,0,11,3,4,18
TJK,Tajikistan,2010 Winter,2010,5.642,7.642,1,4,0.25,32.0,180.0,82.0,0,0,0,0,0,0
TUR,Turkey,2010 Winter,2010,776.558,73.723,3,9,0.556,24.0,165.0,62.0,0,0,0,0,0,0
UKR,Ukraine,2010 Winter,2010,136.011,45.598,9,36,1.25,25.0,171.0,65.0,0,0,0,0,0,0
USA,United States,2010 Winter,2010,14992.05,309.732,15,84,2.524,26.0,175.0,73.0,0,0,12,63,22,97
UZB,Uzbekistan,2010 Winter,2010,46.686,28.001,2,5,0.6,27.0,180.0,60.0,0,0,0,0,0,0
AFG,Afghanistan,2012 Summer,2012,20.293,25.864,4,6,1.0,25.0,170.5,63.5,1,0,0,0,1,1
ALB,Albania,2012 Summer,2012,12.324,2.9,5,9,1.0,22.0,177.0,77.5,1,0,0,0,0,0
ALG,Algeria,2012 Summer,2012,209.059,37.495,12,25,1.36,25.0,175.0,64.0,1,0,1,0,0,1
ANG,Angola,2012 Summer,2012,128.053,24.414,6,10,3.3,26.0,174.0,70.0,1,0,0,0,0,0
ANT,Antigua and Barbuda,2012 Summer,2012,1.2,0.087,2,4,1.0,22.5,174.0,69.0,1,0,0,0,0,0
ARG,Argentina,2012 Summer,2012,579.666,41.733,23,62,2.194,27.0,180.0,79.0,1,0,1,15,3,19
ARM,Armenia,2012 Summer,2012,10.619,2.97,9,30,0.8,24.0,170.0,76.0,1,0,0,1,2,3
ARU,Aruba,2012 Summer,2012,2.615,0.105,3,4,1.0,23.5,174.5,68.5,1,0,0,0,0,0
AUS,Australia,2012 Summer,2012,1569.32,22.928,27,190,2.053,25.0,179.0,72.0,1,0,18,37,59,114
AUT,Austria,2012 Summer,2012,409.661,8.426,19,69,1.014,27.0,174.5,70.0,1,0,0,0,0,0
AZE,Azerbaijan,2012 Summer,2012,69.687,9.235,14,46,1.0,24.0,170.0,71.0,1,0,2,2,6,10
BAN,Bangladesh,2012 Summer,2012,133.304,151.008,5,7,0.714,21.0,160.0,58.0,1,0,0,0,0,0
BAR,Barbados,2012 Summer,2012,4.61,0.282,3,6,1.0,24.5,182.0,73.0,1,0,0,0,0,0
BDI,Burundi,2012 Summer,2012,2.333,9.329,2,5,1.0,23.0,170.0,60.0,1,0,0,0,0,0
BEL,Belgium,2012 Summer,2012,496.467,11.076,16,71,1.563,25.0,178.5,70.0,1,0,0,1,2,3
BEN,Benin,2012 Summer,2012,11.148,9.729,3,4,1.0,25.5,173.0,65.0,1,0,0,0,0,0
BHU,Bhutan,2012 Summer,2012,1.772,0.683,2,2,1.0,27.5,155.0,60.0,1,0,0,0,0,0
BIH,Bosnia and Herzegovina,2012 Summer,2012,17.207,3.605,4,8,0.75,31.0,175.0,67.0,1,0,0,0,0,0
BIZ,Belize,2012 Summer,2012,1.521,0.341,2,3,1.0,26.0,157.0,66.0,1,0,0,0,0,0
BLR,Belarus,2012 Summer,2012,65.669,9.465,23,108,1.435,26.0,177.0,71.0,1,0,3,9,8,20
BOL,Bolivia,2012 Summer,2012,27.282,10.239,2,4,1.0,21.0,171.5,62.5,1,0,0,0,0,0
BOT,Botswana,2012 Summer,2012,16.11,2.04,1,3,1.0,25.0,179.0,60.0,1,0,0,1,0,1
BRA,Brazil,2012 Summer,2012,2464.05,198.315,27,138,1.761,27.0,177.0,70.0,1,0,14,33,11,58
BRN,Bahrain,2012 Summer,2012,30.749,1.209,3,11,1.091,22.5,166.0,57.0,1,0,0,0,1,1
BRU,Brunei,2012 Summer,2012,19.047,0.399,2,3,1.0,19.0,166.0,62.0,1,0,0,0,0,0
BUL,Bulgaria,2012 Summer,2012,54.031,7.285,17,56,1.125,25.0,171.0,66.0,1,0,0,1,1,2
BUR,Burkina Faso,2012 Summer,2012,12.569,16.571,3,5,1.0,24.0,177.0,69.0,1,0,0,0,0,0
