Games,NOC,Athletes,Sports,Events,Competitor Age (Avg),Competitor Height (Avg),Competitor Weight (Avg),M/F,Summer,Home_Field Adv,Year,Gold,Silver,Bronze,Medaled,Total Medals,Athletes per Event,% Medal Bronze
1980 Summer,SUI,73,10,45,25.973,181.288,77.74,1,1,0,1980,2,0,0,1,2,1.622,0.0
1980 Summer,SWE,145,18,102,24.51,181.655,76.662,1,1,0,1980,3,8,9,1,20,1.422,0.45
1980 Summer,SYR,5,4,5,21.6,173.8,83.6,1,1,0,1980,0,0,0,0,0,1.0,0.0
1980 Summer,TAN,38,3,22,25.316,170.947,65.342,1,1,0,1980,0,2,0,1,2,1.727,0.0
1980 Summer,TCH,207,21,114,25.459,178.449,75.729,1,1,0,1980,17,18,16,1,51,1.816,0.314
1980 Summer,TTO,9,1,5,26.889,176.222,73.667,1,1,0,1980,0,0,0,0,0,1.8,0.0
1980 Summer,UGA,12,2,12,23.417,174.75,68.917,1,1,0,1980,0,1,0,1,1,1.0,0.0
1980 Summer,URS,484,23,201,24.39,178.291,75.764,1,1,1,1980,184,128,125,1,437,2.408,0.286
1980 Summer,VEN,37,7,20,22.27,173.946,67.595,1,1,0,1980,0,1,0,1,1,1.85,0.0
1980 Summer,VIE,30,4,31,24.133,163.533,57.1,1,1,0,1980,0,0,0,0,0,0.968,0.0
1980 Summer,YUG,162,17,69,24.333,183.494,79.426,1,1,0,1980,12,27,17,1,56,2.348,0.304
1980 Summer,ZAM,9,2,10,27.111,173.333,62.556,1,1,0,1980,0,0,0,0,0,0.9,0.0
1980 Summer,ZIM,41,10,30,27.463,170.927,69.902,1,1,0,1980,15,0,0,1,15,1.367,0.0
1980 Winter,AND,1,1,3,16.0,174.0,85.0,1,0,0,1980,0,0,0,0,0,0.333,0.0
1980 Winter,ARG,2,2,4,22.0,172.5,65.0,1,0,0,1980,0,0,0,0,0,0.5,0.0
1980 Winter,AUS,2,1,5,26.0,181.0,81.5,1,0,0,1980,0,0,0,0,0,0.4,0.0
1980 Winter,AUT,41,6,18,23.878,176.366,72.512,1,0,0,1980,3,2,2,1,7,2.278,0.286
1980 Winter,BEL,1,1,3,21.0,181.0,75.0,1,0,0,1980,0,0,0,0,0,0.333,0.0
1980 Winter,BOL,1,1,3,21.0,185.0,72.0,1,0,0,1980,0,0,0,0,0,0.333,0.0
1980 Winter,BUL,6,3,6,21.667,177.667,73.0,1,0,0,1980,0,0,1,1,1,1.0,1.0
1980 Winter,CAN,38,8,22,22.526,174.921,73.105,1,0,0,1980,0,1,0,1,1,1.727,0.0
1980 Winter,CHN,6,3,8,18.833,164.167,56.0,1,0,0,1980,0,0,0,0,0,0.75,0.0
1980 Winter,CYP,1,1,2,14.0,162.0,51.0,0,0,0,1980,0,0,0,0,0,0.5,0.0
1980 Winter,ESP,2,1,4,22.5,169.5,62.5,1,0,0,1980,0,0,0,0,0,0.5,0.0
1980 Winter,FIN,52,7,24,25.192,176.308,72.712,1,0,0,1980,1,5,6,1,12,2.167,0.5
1980 Winter,FRA,21,6,16,21.857,170.857,64.143,1,0,0,1980,0,0,1,1,1,1.312,1.0
1980 Winter,FRG,77,10,34,23.857,176.636,73.104,1,0,0,1980,0,2,6,1,8,2.265,0.75
1980 Winter,GBR,25,6,20,25.56,173.88,72.6,1,0,0,1980,1,0,0,1,1,1.25,0.0
1980 Winter,GDR,43,8,26,22.86,175.442,72.349,1,0,0,1980,15,8,8,1,31,1.654,0.258
1980 Winter,GRE,2,1,2,19.0,171.0,72.5,1,0,0,1980,0,0,0,0,0,1.0,0.0
1980 Winter,HUN,2,1,1,25.0,175.0,61.5,1,0,0,1980,0,2,0,1,2,2.0,0.0
1980 Winter,ITA,27,7,22,23.444,172.259,67.667,1,0,0,1980,0,3,0,1,3,1.227,0.0
1980 Winter,JPN,49,10,27,25.571,169.367,67.265,1,0,0,1980,0,1,0,1,1,1.815,0.0
1980 Winter,KOR,5,1,9,19.8,171.4,66.6,1,0,0,1980,0,0,0,0,0,0.556,0.0
1980 Winter,LIE,4,2,8,21.75,173.5,68.75,1,0,0,1980,2,2,0,1,4,0.5,0.0
1980 Winter,MGL,1,1,3,36.0,178.0,71.0,1,0,0,1980,0,0,0,0,0,0.333,0.0
1980 Winter,NED,23,2,10,24.609,180.652,79.87,1,0,0,1980,0,2,0,1,2,2.3,0.0
1980 Winter,NOR,49,7,28,24.49,179.265,74.122,1,0,0,1980,1,5,8,1,14,1.75,0.571
1980 Winter,POL,30,5,13,24.333,175.533,73.6,1,0,0,1980,0,0,0,0,0,2.308,0.0
1980 Winter,ROU,25,4,6,24.28,178.4,79.84,1,0,0,1980,0,0,0,0,0,4.167,0.0
1980 Winter,SUI,41,9,23,24.634,173.537,69.732,1,0,0,1980,2,4,3,1,9,1.783,0.333
1980 Winter,SWE,61,9,32,24.607,177.656,73.492,1,0,0,1980,3,0,20,1,23,1.906,0.87
1980 Winter,TCH,41,7,23,24.707,176.317,75.268,1,0,0,1980,0,0,1,1,1,1.783,1.0
1980 Winter,URS,66,9,35,25.167,174.591,72.591,1,0,0,1980,15,26,4,1,45,1.886,0.089
1980 Winter,USA,91,10,38,23.549,175.626,71.945,1,0,1,1980,24,4,1,1,29,2.395,0.034
1980 Winter,YUG,9,4,9,19.222,173.667,68.333,1,0,0,1980,0,0,0,0,0,1.0,0.0
1984 Summer,AHO,6,2,8,18.0,178.5,67.667,1,1,0,1984,0,0,0,0,0,0.75,0.0
1984 Summer,ALG,20,4,10,24.95,176.65,73.4,1,1,0,1984,0,0,0,0,0,2.0,0.0
1984 Summer,AND,2,1,1,35.0,180.5,85.5,1,1,0,1984,0,0,0,0,0,2.0,0.0
1984 Summer,ANT,13,2,16,20.923,175.462,65.385,1,1,0,1984,0,0,0,0,0,0.812,0.0
1984 Summer,ARG,81,14,70,25.012,178.605,75.062,1,1,0,1984,0,0,0,0,0,1.157,0.0
1984 Summer,AUS,236,22,137,24.733,178.784,74.775,1,1,0,1984,7,14,31,1,52,1.723,0.596
1984 Summer,AUT,101,18,71,25.604,177.218,74.406,1,1,0,1984,1,1,1,1,3,1.423,0.333
1984 Summer,BAH,22,4,23,23.045,177.227,70.477,1,1,0,1984,0,0,0,0,0,0.957,0.0
1984 Summer,BAN,1,1,2,21.0,162.0,60.0,1,1,0,1984,0,0,0,0,0,0.5,0.0
1984 Summer,BAR,14,5,13,24.214,176.786,69.571,1,1,0,1984,0,0,0,0,0,1.077,0.0
1984 Summer,BEL,63,14,48,24.778,176.0,71.302,1,1,0,1984,1,2,2,1,5,1.312,0.4
1984 Summer,BEN,3,1,3,25.333,170.667,64.333,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,BER,12,5,10,25.167,180.833,73.75,1,1,0,1984,0,0,0,0,0,1.2,0.0
1984 Summer,BHU,6,1,2,26.333,171.5,62.0,1,1,0,1984,0,0,0,0,0,3.0,0.0
1984 Summer,BIZ,11,3,7,22.545,173.636,67.727,1,1,0,1984,0,0,0,0,0,1.571,0.0
1984 Summer,BOL,10,5,9,31.0,170.1,64.0,1,1,0,1984,0,0,0,0,0,1.111,0.0
1984 Summer,BOT,7,2,6,29.429,176.429,69.429,1,1,0,1984,0,0,0,0,0,1.167,0.0
1984 Summer,BRA,137,17,81,25.226,180.891,75.993,1,1,0,1984,1,29,2,1,32,1.691,0.062
1984 Summer,BRN,2,2,3,21.5,189.0,75.0,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,CAF,3,2,3,23.333,172.0,62.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,CAN,398,23,191,24.387,177.643,72.786,1,1,0,1984,18,35,31,1,84,2.084,0.369
1984 Summer,CAY,8,2,7,25.5,177.75,71.25,1,1,0,1984,0,0,0,0,0,1.143,0.0
1984 Summer,CGO,6,1,7,28.5,175.167,64.667,1,1,0,1984,0,0,0,0,0,0.857,0.0
1984 Summer,CHA,3,1,3,28.0,183.667,76.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,CHI,14,7,20,26.429,179.714,75.143,1,1,0,1984,0,0,0,0,0,0.7,0.0
1984 Summer,CHN,215,19,105,22.698,175.693,70.028,1,1,0,1984,24,13,37,1,74,2.048,0.5
1984 Summer,CIV,9,3,10,24.556,172.444,66.111,1,1,0,1984,0,1,0,1,1,0.9,0.0
1984 Summer,CMR,15,5,14,25.467,175.333,73.533,1,1,0,1984,0,0,1,1,1,1.071,1.0
1984 Summer,COD,2,1,3,24.5,164.0,60.5,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,COL,32,7,30,25.031,169.969,63.406,1,1,0,1984,0,1,0,1,1,1.067,0.0
1984 Summer,CRC,14,5,16,24.571,173.429,64.214,1,1,0,1984,0,0,0,0,0,0.875,0.0
1984 Summer,CYP,10,4,9,30.4,176.1,71.1,1,1,0,1984,0,0,0,0,0,1.111,0.0
1984 Summer,DEN,60,11,33,25.517,182.55,78.55,1,1,0,1984,0,3,10,1,13,1.818,0.769
1984 Summer,DJI,2,1,1,26.0,174.5,58.0,1,1,0,1984,0,0,0,0,0,2.0,0.0
1984 Summer,DOM,6,3,6,26.0,174.833,73.833,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,ECU,11,6,14,28.636,173.182,73.545,1,1,0,1984,0,0,0,0,0,0.786,0.0
1984 Summer,EGY,91,12,70,24.835,178.795,78.495,1,1,0,1984,0,1,0,1,1,1.3,0.0
1984 Summer,ESA,9,5,14,23.0,170.778,67.111,1,1,0,1984,0,0,0,0,0,0.643,0.0
1984 Summer,ESP,179,23,104,24.922,177.721,73.564,1,1,0,1984,2,14,3,1,19,1.721,0.158
1984 Summer,FIJ,14,5,22,28.143,176.429,74.0,1,1,0,1984,0,0,0,0,0,0.636,0.0
1984 Summer,FIN,86,15,76,26.384,178.186,74.047,1,1,0,1984,4,2,6,1,12,1.132,0.5
1984 Summer,FRA,222,20,137,24.689,177.243,71.248,1,1,0,1984,20,16,31,1,67,1.62,0.463
1984 Summer,FRG,389,25,194,24.593,180.302,75.009,1,1,0,1984,30,75,53,1,158,2.005,0.335
1984 Summer,GAB,4,2,4,21.25,167.5,65.25,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,GAM,8,1,9,25.25,172.625,63.875,1,1,0,1984,0,0,0,0,0,0.889,0.0
1984 Summer,GBR,334,20,189,25.234,176.482,71.395,1,1,0,1984,9,20,42,1,71,1.767,0.592
1984 Summer,GEQ,4,1,5,20.0,173.75,70.25,1,1,0,1984,0,0,0,0,0,0.8,0.0
1984 Summer,GHA,21,2,17,23.143,169.762,61.429,1,1,0,1984,0,0,0,0,0,1.235,0.0
1984 Summer,GRE,63,11,49,24.619,179.238,81.952,1,1,0,1984,0,1,1,1,2,1.286,0.5
1984 Summer,GRN,2,2,2,21.5,176.5,67.5,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,GUA,24,9,40,22.792,171.667,63.583,1,1,0,1984,0,0,0,0,0,0.6,0.0
1984 Summer,GUI,1,1,1,33.0,167.0,71.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,GUY,10,3,12,24.5,173.0,62.8,1,1,0,1984,0,0,0,0,0,0.833,0.0
1984 Summer,HAI,1,1,1,30.0,175.0,65.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,HKG,47,10,47,26.766,171.872,63.021,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,HON,3,1,3,33.0,166.667,58.667,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,INA,16,6,16,24.688,164.312,57.125,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,IND,47,7,30,25.34,169.894,66.0,1,1,0,1984,0,0,0,0,0,1.567,0.0
1984 Summer,IRL,41,10,32,24.902,173.366,65.902,1,1,0,1984,0,1,0,1,1,1.281,0.0
1984 Summer,IRQ,3,2,2,25.667,174.333,79.0,1,1,0,1984,0,0,0,0,0,1.5,0.0
1984 Summer,ISL,30,5,17,23.667,184.167,82.833,1,1,0,1984,0,0,1,1,1,1.765,1.0
1984 Summer,ISR,32,11,46,23.594,170.406,63.281,1,1,0,1984,0,0,0,0,0,0.696,0.0
1984 Summer,ISV,27,6,30,27.778,177.333,71.333,1,1,0,1984,0,0,0,0,0,0.9,0.0
1984 Summer,ITA,251,22,150,24.49,179.398,74.912,1,1,0,1984,29,6,28,1,63,1.673,0.444
1984 Summer,IVB,8,2,7,29.5,181.375,73.75,1,1,0,1984,0,0,0,0,0,1.143,0.0
1984 Summer,JAM,44,5,35,21.682,176.295,70.25,1,1,0,1984,0,5,2,1,7,1.257,0.286
1984 Summer,JOR,12,2,11,26.667,173.417,70.083,1,1,0,1984,0,0,0,0,0,1.091,0.0
1984 Summer,JPN,226,22,147,24.58,172.027,68.084,1,1,0,1984,10,8,31,1,49,1.537,0.633
1984 Summer,KEN,36,5,21,25.139,172.75,65.917,1,1,0,1984,1,0,1,1,2,1.714,0.5
1984 Summer,KOR,174,19,96,21.991,173.385,68.451,1,1,0,1984,6,28,7,1,41,1.812,0.171
1984 Summer,KSA,16,2,2,22.188,170.438,66.25,1,1,0,1984,0,0,0,0,0,8.0,0.0
1984 Summer,KUW,18,5,13,20.5,176.278,72.278,1,1,0,1984,0,0,0,0,0,1.385,0.0
1984 Summer,LBR,7,1,7,20.857,172.143,60.571,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,LES,4,2,4,28.25,168.5,62.25,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,LIB,17,8,17,23.118,172.941,70.059,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,LIE,7,3,7,27.143,171.714,72.286,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,LUX,5,3,4,35.2,174.6,79.6,1,1,0,1984,0,0,0,0,0,1.25,0.0
1984 Summer,MAD,5,2,5,23.8,169.2,61.8,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,MAR,26,5,12,25.577,174.885,70.192,1,1,0,1984,2,0,0,1,2,2.167,0.0
1984 Summer,MAS,20,5,12,24.9,170.9,63.9,1,1,0,1984,0,0,0,0,0,1.667,0.0
1984 Summer,MAW,15,3,16,25.4,165.133,63.867,1,1,0,1984,0,0,0,0,0,0.938,0.0
1984 Summer,MEX,99,18,87,24.687,171.323,63.904,1,1,0,1984,2,3,1,1,6,1.138,0.167
1984 Summer,MLI,2,2,2,24.5,182.5,76.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,MLT,7,5,6,26.857,171.714,69.714,1,1,0,1984,0,0,0,0,0,1.167,0.0
1984 Summer,MON,8,5,7,31.875,181.625,76.625,1,1,0,1984,0,0,0,0,0,1.143,0.0
1984 Summer,MOZ,8,2,11,25.375,175.75,66.875,1,1,0,1984,0,0,0,0,0,0.727,0.0
1984 Summer,MRI,4,1,7,20.25,181.5,73.75,1,1,0,1984,0,0,0,0,0,0.571,0.0
1984 Summer,MTN,1,1,1,24.0,185.0,90.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,MYA,1,1,1,26.0,167.0,60.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,NCA,5,2,5,23.4,172.6,68.2,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,NED,124,15,72,25.032,179.573,73.702,1,1,0,1984,20,7,14,1,41,1.722,0.341
1984 Summer,NEP,5,1,3,27.0,166.4,54.4,1,1,0,1984,0,0,0,0,0,1.667,0.0
1984 Summer,NGR,32,4,24,23.469,175.688,74.188,1,1,0,1984,0,1,4,1,5,1.333,0.8
1984 Summer,NIG,2,1,2,24.5,175.0,64.5,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,NOR,101,16,74,24.356,180.455,73.851,1,1,0,1984,0,1,3,1,4,1.365,0.75
1984 Summer,NZL,129,18,75,25.465,177.953,73.628,1,1,0,1984,16,1,6,1,23,1.72,0.261
1984 Summer,OMA,9,2,11,21.444,174.778,66.889,1,1,0,1984,0,0,0,0,0,0.818,0.0
1984 Summer,PAK,31,5,15,24.323,174.226,69.871,1,1,0,1984,16,0,0,1,16,2.067,0.0
1984 Summer,PAN,6,4,8,21.667,168.167,65.167,1,1,0,1984,0,0,0,0,0,0.75,0.0
1984 Summer,PAR,10,4,14,27.1,173.6,69.9,1,1,0,1984,0,0,0,0,0,0.714,0.0
1984 Summer,PER,35,10,29,21.914,175.229,69.743,1,1,0,1984,0,1,0,1,1,1.207,0.0
1984 Summer,PHI,18,5,27,24.0,168.722,58.056,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,PNG,7,2,12,27.714,170.429,61.286,1,1,0,1984,0,0,0,0,0,0.583,0.0
1984 Summer,POR,38,11,32,26.105,171.842,65.105,1,1,0,1984,1,0,2,1,3,1.188,0.667
1984 Summer,PUR,49,13,43,24.939,173.02,67.367,1,1,0,1984,0,1,1,1,2,1.14,0.5
1984 Summer,QAT,11,2,2,20.636,173.364,68.636,1,1,0,1984,0,0,0,0,0,5.5,0.0
1984 Summer,ROU,124,13,86,24.298,175.427,73.556,1,1,0,1984,40,31,35,1,106,1.442,0.33
1984 Summer,RWA,2,1,4,23.5,165.5,59.5,1,1,0,1984,0,0,0,0,0,0.5,0.0
1984 Summer,SAM,2,1,3,26.0,182.0,89.0,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,SEN,23,4,20,27.043,179.565,77.783,1,1,0,1984,0,0,0,0,0,1.15,0.0
1984 Summer,SEY,9,2,15,23.667,170.667,63.667,1,1,0,1984,0,0,0,0,0,0.6,0.0
1984 Summer,SLE,5,2,4,21.4,182.0,70.2,1,1,0,1984,0,0,0,0,0,1.25,0.0
1984 Summer,SMR,19,7,26,28.842,175.947,72.474,1,1,0,1984,0,0,0,0,0,0.731,0.0
1984 Summer,SOL,1,1,1,29.0,185.0,65.0,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,SOM,4,1,4,19.75,181.25,68.5,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,SRI,4,3,5,24.75,169.75,66.0,1,1,0,1984,0,0,0,0,0,0.8,0.0
1984 Summer,SUD,3,1,5,27.333,176.333,63.333,1,1,0,1984,0,0,0,0,0,0.6,0.0
1984 Summer,SUI,129,18,91,25.271,178.457,73.31,1,1,0,1984,0,9,4,1,13,1.418,0.308
1984 Summer,SUR,4,3,6,19.75,170.75,67.25,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,SWE,174,19,138,24.793,180.121,75.325,1,1,0,1984,3,18,13,1,34,1.261,0.382
1984 Summer,SWZ,5,4,8,25.8,168.4,65.2,1,1,0,1984,0,0,0,0,0,0.625,0.0
1984 Summer,SYR,7,4,7,22.286,170.714,76.714,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,TAN,11,2,9,27.182,169.909,65.091,1,1,0,1984,0,0,0,0,0,1.222,0.0
1984 Summer,THA,35,5,25,28.0,166.914,59.286,1,1,0,1984,0,1,0,1,1,1.4,0.0
1984 Summer,TOG,5,2,5,25.2,173.0,63.8,1,1,0,1984,0,0,0,0,0,1.0,0.0
1984 Summer,TPE,38,12,40,24.289,171.211,64.105,1,1,0,1984,0,0,1,1,1,0.95,1.0
1984 Summer,TTO,16,5,14,22.625,177.688,70.375,1,1,0,1984,0,0,0,0,0,1.143,0.0
1984 Summer,TUN,23,6,17,22.348,180.087,74.522,1,1,0,1984,0,0,0,0,0,1.353,0.0
1984 Summer,TUR,45,10,49,26.067,172.844,70.356,1,1,0,1984,0,0,3,1,3,0.918,1.0
1984 Summer,UGA,23,3,22,24.348,169.609,66.13,1,1,0,1984,0,0,0,0,0,1.045,0.0
1984 Summer,URU,18,5,11,22.889,188.556,83.889,1,1,0,1984,0,0,0,0,0,1.636,0.0
1984 Summer,USA,520,25,216,25.19,179.406,74.256,1,1,1,1984,186,116,50,1,352,2.407,0.142
1984 Summer,VEN,24,9,26,26.042,176.042,69.958,1,1,0,1984,0,0,3,1,3,0.923,1.0
1984 Summer,YAR,2,1,3,26.0,165.0,59.5,1,1,0,1984,0,0,0,0,0,0.667,0.0
1984 Summer,YUG,139,16,53,24.482,183.0,78.612,1,1,0,1984,47,5,35,1,87,2.623,0.402
1984 Summer,ZAM,5,2,7,23.4,173.8,66.6,1,1,0,1984,0,0,0,0,0,0.714,0.0
1984 Summer,ZIM,15,5,18,27.933,174.267,68.067,1,1,0,1984,0,0,0,0,0,0.833,0.0
1984 Winter,AND,2,1,3,18.0,176.5,73.0,1,0,0,1984,0,0,0,0,0,0.667,0.0
1984 Winter,ARG,17,3,12,21.059,175.882,69.235,1,0,0,1984,0,0,0,0,0,1.417,0.0
1984 Winter,AUS,9,5,14,23.111,177.444,73.667,1,0,0,1984,0,0,0,0,0,0.643,0.0
1984 Winter,AUT,54,9,27,23.704,179.556,77.185,1,0,0,1984,0,0,1,1,1,2.0,1.0
1984 Winter,BEL,4,2,6,22.5,170.25,63.75,1,0,0,1984,0,0,0,0,0,0.667,0.0
1984 Winter,BOL,3,1,3,27.667,172.667,61.333,1,0,0,1984,0,0,0,0,0,1.0,0.0
1984 Winter,BUL,16,5,11,23.312,174.5,69.812,1,0,0,1984,0,0,0,0,0,1.455,0.0
1984 Winter,CAN,59,8,29,21.763,174.034,72.0,1,0,0,1984,2,1,1,1,4,2.034,0.25
1984 Winter,CHI,1,1,3,20.0,163.0,80.0,1,0,0,1984,0,0,0,0,0,0.333,0.0
1984 Winter,CHN,16,3,15,22.312,165.938,57.062,1,0,0,1984,0,0,0,0,0,1.067,0.0
1984 Winter,CRC,2,2,4,23.0,174.0,68.0,1,0,0,1984,0,0,0,0,0,0.5,0.0
1984 Winter,CYP,5,1,4,19.2,176.2,70.4,1,0,0,1984,0,0,0,0,0,1.25,0.0
1984 Winter,ESP,6,4,9,23.0,171.5,63.667,1,0,0,1984,0,0,0,0,0,0.667,0.0
1984 Winter,FIN,45,6,20,23.933,179.889,76.5,1,0,0,1984,4,3,12,1,19,2.25,0.632
1984 Winter,FRA,27,7,24,24.037,172.667,66.037,1,0,0,1984,0,1,2,1,3,1.125,0.667
1984 Winter,FRG,84,10,37,23.976,177.94,74.786,1,0,0,1984,3,1,4,1,8,2.27,0.5
1984 Winter,GBR,45,7,26,24.622,173.267,70.689,1,0,0,1984,2,0,0,1,2,1.731,0.0
1984 Winter,GDR,56,8,31,22.75,175.857,71.304,1,0,0,1984,13,13,7,1,33,1.806,0.212
1984 Winter,GRE,6,2,4,20.833,178.833,74.5,1,0,0,1984,0,0,0,0,0,1.5,0.0
1984 Winter,HUN,9,4,8,20.556,175.556,69.0,1,0,0,1984,0,0,0,0,0,1.125,0.0
1984 Winter,ISL,5,2,6,21.2,174.8,71.8,1,0,0,1984,0,0,0,0,0,0.833,0.0
1984 Winter,ITA,69,9,31,24.362,174.964,72.971,1,0,0,1984,2,0,0,1,2,2.226,0.0
1984 Winter,JPN,39,9,29,22.897,168.692,65.359,1,0,0,1984,0,1,0,1,1,1.345,0.0
1984 Winter,KOR,14,4,16,19.786,169.929,63.143,1,0,0,1984,0,0,0,0,0,0.875,0.0
1984 Winter,LIE,8,3,8,21.625,175.375,69.0,1,0,0,1984,0,0,1,1,1,1.0,1.0
1984 Winter,MEX,1,1,3,25.0,183.0,77.0,1,0,0,1984,0,0,0,0,0,0.333,0.0
1984 Winter,MGL,4,1,3,28.25,173.75,70.5,1,0,0,1984,0,0,0,0,0,1.333,0.0
1984 Winter,MON,1,1,2,17.0,177.0,62.0,1,0,0,1984,0,0,0,0,0,0.5,0.0
1984 Winter,NED,13,2,10,23.692,178.077,75.231,1,0,0,1984,0,0,0,0,0,1.3,0.0
1984 Winter,NOR,56,8,28,24.268,180.0,74.786,1,0,0,1984,6,4,4,1,14,2.0,0.286
1984 Winter,NZL,6,1,5,19.5,171.667,65.333,1,0,0,1984,0,0,0,0,0,1.2,0.0
1984 Winter,POL,30,6,13,24.167,175.867,73.333,1,0,0,1984,0,0,0,0,0,2.308,0.0
1984 Winter,PRK,4,1,7,17.0,166.5,60.75,1,0,0,1984,0,0,0,0,0,0.571,0.0
1984 Winter,PUR,1,1,1,36.0,185.0,105.0,1,0,0,1984,0,0,0,0,0,1.0,0.0
1984 Winter,ROU,16,6,16,23.25,176.25,74.75,1,0,0,1984,0,0,0,0,0,1.0,0.0
1984 Winter,SEN,1,1,2,23.0,192.0,92.0,1,0,0,1984,0,0,0,0,0,0.5,0.0
1984 Winter,SMR,3,2,4,22.0,179.0,73.333,1,0,0,1984,0,0,0,0,0,0.75,0.0
1984 Winter,SUI,39,8,25,24.538,174.128,71.692,1,0,0,1984,2,2,4,1,8,1.56,0.5
1984 Winter,SWE,60,8,29,23.983,179.183,75.633,1,0,0,1984,7,2,21,1,30,2.069,0.7
1984 Winter,TCH,50,8,22,24.14,175.48,72.14,1,0,0,1984,0,24,4,1,28,2.273,0.143
1984 Winter,TPE,12,5,9,22.917,173.583,71.833,1,0,0,1984,0,0,0,0,0,1.333,0.0
1984 Winter,TUR,7,2,3,18.857,176.857,69.714,1,0,0,1984,0,0,0,0,0,2.333,0.0
1984 Winter,URS,97,10,38,23.814,175.113,73.247,1,0,0,1984,29,15,12,1,56,2.553,0.214
1984 Winter,USA,103,10,39,23.621,175.553,71.816,1,0,0,1984,4,5,0,1,9,2.641,0.0
1984 Winter,YUG,68,10,33,22.426,177.5,74.676,1,0,1,1984,0,1,0,1,1,2.061,0.0
1988 Summer,AHO,1,1,2,20.0,193.0,80.0,1,1,0,1988,0,0,0,0,0,0.5,0.0
1988 Summer,ALG,39,5,27,25.103,176.564,73.385,1,1,0,1988,0,0,0,0,0,1.444,0.0
1988 Summer,AND,3,2,3,21.667,171.0,65.333,1,1,0,1988,0,0,0,0,0,1.0,0.0
1988 Summer,ANG,17,3,20,20.588,170.647,62.941,1,1,0,1988,0,0,0,0,0,0.85,0.0
1988 Summer,ANT,15,4,19,22.667,177.933,64.6,1,1,0,1988,0,0,0,0,0,0.789,0.0
1988 Summer,ARG,116,17,52,24.853,179.793,74.121,1,1,0,1988,0,1,12,1,13,2.231,0.923
1988 Summer,ARU,8,5,10,27.75,171.125,69.5,1,1,0,1988,0,0,0,0,0,0.8,0.0
1988 Summer,ASA,4,3,4,29.0,179.5,97.25,1,1,0,1988,0,0,0,0,0,1.0,0.0
1988 Summer,AUS,243,24,142,25.218,178.741,74.712,1,1,0,1988,18,6,11,1,35,1.711,0.314
1988 Summer,AUT,72,17,62,26.875,181.042,78.222,1,1,0,1988,1,0,0,1,1,1.161,0.0
1988 Summer,BAH,15,4,13,28.2,178.333,74.633,1,1,0,1988,0,0,0,0,0,1.154,0.0
1988 Summer,BAN,6,2,8,24.5,170.5,63.0,1,1,0,1988,0,0,0,0,0,0.75,0.0
1988 Summer,BAR,9,4,11,24.556,175.444,73.222,1,1,0,1988,0,0,0,0,0,0.818,0.0
1988 Summer,BEL,57,16,60,25.053,174.965,70.14,1,1,0,1988,0,0,2,1,2,0.95,1.0
1988 Summer,BEN,7,2,7,28.0,177.0,67.857,1,1,0,1988,0,0,0,0,0,1.0,0.0
1988 Summer,BER,12,6,12,28.833,177.75,71.583,1,1,0,1988,0,0,0,0,0,1.0,0.0
1988 Summer,BHU,3,1,2,34.0,169.333,66.0,1,1,0,1988,0,0,0,0,0,1.5,0.0
1988 Summer,BIZ,10,2,7,22.5,175.0,66.5,1,1,0,1988,0,0,0,0,0,1.429,0.0
1988 Summer,BOL,7,6,12,22.857,176.571,72.571,1,1,0,1988,0,0,0,0,0,0.583,0.0
1988 Summer,BOT,7,2,7,25.714,182.0,71.0,1,1,0,1988,0,0,0,0,0,1.0,0.0
