Games,NOC,Athletes,Sports,Events,Competitor Age (Avg),Competitor Height (Avg),Competitor Weight (Avg),M/F,Summer,Home_Field Adv,Year,Gold,Silver,Bronze,Medaled,Total Medals,Athletes per Event,% Medal Bronze
1972 Winter,YUG,26,4,6,24.462,175.885,76.615,1,0,0,1972,0,0,0,0,0,4.333,0.0
1976 Summer,AHO,2,1,2,25.0,174.5,66.0,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,AND,3,2,2,28.333,174.667,78.0,1,1,0,1976,0,0,0,0,0,1.5,0.0
1976 Summer,ANT,8,1,8,23.625,178.625,71.625,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,ARG,59,12,47,26.017,177.356,76.593,1,1,0,1976,0,0,0,0,0,1.255,0.0
1976 Summer,AUS,173,20,113,25.168,179.006,74.012,1,1,0,1976,0,15,7,1,22,1.531,0.318
1976 Summer,AUT,60,15,44,27.25,178.417,76.208,1,1,0,1976,0,0,1,1,1,1.364,1.0
1976 Summer,BAH,9,2,10,23.556,180.667,74.222,1,1,0,1976,0,0,0,0,0,0.9,0.0
1976 Summer,BAR,11,2,11,23.818,169.636,66.182,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,BEL,100,16,78,23.8,177.33,71.61,1,1,0,1976,0,3,6,1,9,1.282,0.667
1976 Summer,BER,16,3,12,26.375,177.0,74.438,1,1,0,1976,0,0,1,1,1,1.333,1.0
1976 Summer,BIZ,3,2,3,44.333,175.333,66.667,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,BOL,4,4,5,32.75,172.25,66.25,1,1,0,1976,0,0,0,0,0,0.8,0.0
1976 Summer,BRA,78,12,46,24.179,177.756,73.654,1,1,0,1976,0,0,3,1,3,1.696,1.0
1976 Summer,BUL,151,13,103,23.749,173.334,72.082,1,1,0,1976,8,13,18,1,39,1.466,0.462
1976 Summer,CAN,360,23,161,23.622,177.714,71.822,1,1,1,1976,0,6,14,1,20,2.236,0.7
1976 Summer,CAY,2,1,1,24.5,177.0,77.0,1,1,0,1976,0,0,0,0,0,2.0,0.0
1976 Summer,CHI,7,4,8,28.714,175.571,72.286,1,1,0,1976,0,0,0,0,0,0.875,0.0
1976 Summer,CIV,3,1,5,20.333,174.333,64.667,1,1,0,1976,0,0,0,0,0,0.6,0.0
1976 Summer,CMR,2,1,1,24.5,174.0,68.5,1,1,0,1976,0,0,0,0,0,2.0,0.0
1976 Summer,COL,34,7,30,23.941,165.176,62.765,1,1,0,1976,0,0,0,0,0,1.133,0.0
1976 Summer,CRC,5,4,9,27.8,173.4,69.4,1,1,0,1976,0,0,0,0,0,0.556,0.0
1976 Summer,CUB,155,14,75,23.677,177.819,74.671,1,1,0,1976,6,4,14,1,24,2.067,0.583
1976 Summer,DEN,65,14,39,26.477,179.092,73.631,1,1,0,1976,3,0,5,1,8,1.667,0.625
1976 Summer,DOM,10,3,10,21.0,167.6,57.2,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,ECU,4,3,7,21.5,172.0,79.25,1,1,0,1976,0,0,0,0,0,0.571,0.0
1976 Summer,EGY,26,4,7,24.692,183.192,74.154,1,1,0,1976,0,0,0,0,0,3.714,0.0
1976 Summer,ESP,109,14,66,24.394,173.284,71.183,1,1,0,1976,0,6,0,1,6,1.652,0.0
1976 Summer,FIJ,1,1,2,24.0,167.0,56.0,0,1,0,1976,0,0,0,0,0,0.5,0.0
1976 Summer,FIN,83,14,63,26.819,180.446,78.639,1,1,0,1976,4,2,0,1,6,1.317,0.0
1976 Summer,FRA,202,18,126,25.272,175.797,70.713,1,1,0,1976,5,7,8,1,20,1.603,0.4
1976 Summer,FRG,285,20,160,25.211,179.649,75.309,1,1,0,1976,21,25,28,1,74,1.781,0.378
1976 Summer,GBR,229,17,146,25.48,176.297,70.629,1,1,0,1976,6,15,8,1,29,1.568,0.276
1976 Summer,GDR,267,17,139,23.041,176.494,73.625,1,1,0,1976,102,51,42,1,195,1.921,0.215
1976 Summer,GRE,34,7,30,26.941,174.324,72.471,1,1,0,1976,0,0,0,0,0,1.133,0.0
1976 Summer,GUA,28,5,8,24.964,173.429,66.821,1,1,0,1976,0,0,0,0,0,3.5,0.0
1976 Summer,HAI,13,2,14,24.615,170.308,64.846,1,1,0,1976,0,0,0,0,0,0.929,0.0
1976 Summer,HKG,24,6,25,29.292,172.083,62.458,1,1,0,1976,0,0,0,0,0,0.96,0.0
1976 Summer,HON,3,1,2,22.0,167.333,57.667,1,1,0,1976,0,0,0,0,0,1.5,0.0
1976 Summer,HUN,176,17,109,25.097,175.854,72.752,1,1,0,1976,14,6,35,1,55,1.615,0.636
1976 Summer,INA,6,4,7,27.333,165.0,61.5,1,1,0,1976,0,0,0,0,0,0.857,0.0
1976 Summer,IND,24,4,8,26.667,171.083,65.292,1,1,0,1976,0,0,0,0,0,3.0,0.0
1976 Summer,IRI,84,9,50,25.595,173.214,71.131,1,1,0,1976,0,1,1,1,2,1.68,0.5
1976 Summer,IRL,43,10,32,25.279,176.721,72.767,1,1,0,1976,0,0,0,0,0,1.344,0.0
1976 Summer,ISL,5,2,6,23.6,182.8,90.8,1,1,0,1976,0,0,0,0,0,0.833,0.0
1976 Summer,ISR,24,9,16,24.042,172.167,71.292,1,1,0,1976,0,0,0,0,0,1.5,0.0
1976 Summer,ISV,18,6,17,29.222,177.167,72.667,1,1,0,1976,0,0,0,0,0,1.059,0.0
