NOC,Region,Games,Year,GDP (Avg),Athletes,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,M/F,Summer,Home_Field Adv,Medaled,Total Medals,Gold,Silver,Bronze,% Medal Bronze,% Medal Silver,% Medal Gold
USA,USA,1964 Summer,1964,1268.658,346,19,159,2.176,23.0,180.0,75.0,1,1,0,1,169,95,37,37,0.219,0.219,0.562
AUT,Austria,1964 Winter,1964,927.91,43,10,26,1.654,24.0,176.0,75.0,1,0,0,1,11,3,7,1,0.091,0.636,0.273
BEL,Belgium,1964 Winter,1964,199.506,2,1,2,1.0,23.0,177.0,71.5,1,0,0,0,0,0,0,0,0.0,0.0,0.0
BUL,Bulgaria,1964 Winter,1964,810.827,5,2,6,0.833,26.0,168.0,63.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
CAN,Canada,1964 Winter,1964,558.12,28,5,16,1.75,21.0,171.5,70.0,1,0,0,1,2,0,1,1,0.5,0.5,0.0
CHI,Chile,1964 Winter,1964,3560.591,5,1,3,1.667,23.0,171.0,68.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
ESP,Spain,1964 Winter,1964,311.592,5,1,3,1.667,22.0,165.0,65.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
FIN,Finland,1964 Winter,1964,3349.783,45,7,23,1.957,25.0,173.0,71.5,1,0,0,1,15,3,7,5,0.333,0.467,0.2
FRA,France,1964 Winter,1964,3806.282,21,4,17,1.235,22.0,169.0,65.0,1,0,0,1,6,3,3,0,0.0,0.5,0.5
GBR,UK,1964 Winter,1964,2969.896,30,7,18,1.667,22.5,175.0,70.0,1,0,0,1,2,2,0,0,0.0,0.0,1.0
GER,Germany,1964 Winter,1964,1187.685,95,10,34,2.794,24.0,172.0,70.0,1,0,0,1,10,3,4,3,0.3,0.4,0.3
HUN,Hungary,1964 Winter,1964,556.956,23,5,15,1.533,22.0,175.0,72.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
IRI,Iran,1964 Winter,1964,5516.677,2,1,3,0.667,24.5,169.5,69.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
ITA,Italy,1964 Winter,1964,904.18,43,9,24,1.792,24.0,174.0,71.0,1,0,0,1,10,0,2,8,0.8,0.2,0.0
JPN,Japan,1964 Winter,1964,1089.387,41,8,22,1.864,22.0,166.0,63.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
KOR,South Korea,1964 Winter,1964,804.924,1,1,2,0.5,18.0,165.0,62.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
NED,Netherlands,1964 Winter,1964,2874.375,4,2,4,1.0,20.0,176.0,71.5,1,0,0,1,2,1,1,0,0.0,0.5,0.5
NOR,Norway,1964 Winter,1964,1386.757,21,8,15,1.4,24.0,178.0,74.0,1,0,0,1,7,1,3,3,0.429,0.429,0.143
POL,Poland,1964 Winter,1964,1078.582,50,8,24,2.083,25.5,169.5,72.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
ROU,Romania,1964 Winter,1964,3324.476,26,4,6,4.333,24.0,175.5,72.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
SUI,Switzerland,1964 Winter,1964,1032.937,63,10,26,2.423,24.0,174.0,72.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0
SWE,Sweden,1964 Winter,1964,634.883,51,8,25,2.04,25.0,177.0,72.0,1,0,0,1,27,6,20,1,0.037,0.741,0.222
TCH,Czech Republic,1964 Winter,1964,1179.174,36,8,19,1.895,24.0,175.0,75.5,1,0,0,1,17,0,0,17,1.0,0.0,0.0
USA,USA,1964 Winter,1964,1292.464,90,10,31,2.903,23.5,176.5,74.0,1,0,0,1,8,1,2,5,0.625,0.25,0.125
ALG,Algeria,1968 Summer,1968,918.016,3,2,9,0.333,23.0,170.0,61.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
AUS,Australia,1968 Summer,1968,850.807,127,16,105,1.21,24.0,177.0,72.0,1,1,0,1,51,5,35,11,0.216,0.686,0.098
AUT,Austria,1968 Summer,1968,1610.183,42,12,35,1.2,26.0,178.5,75.0,1,1,0,1,5,0,2,3,0.6,0.4,0.0
BAR,Barbados,1968 Summer,1968,629.695,9,5,10,0.9,22.0,173.0,71.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
BEL,Belgium,1968 Summer,1968,1560.611,80,13,54,1.481,22.0,178.0,72.0,1,1,0,1,3,0,1,2,0.667,0.333,0.0
BOL,Boliva,1968 Summer,1968,277.29,4,3,3,1.333,40.0,172.5,74.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
BRA,Brazil,1968 Summer,1968,1221.535,76,13,27,2.815,24.0,180.0,78.0,1,1,0,1,4,0,1,3,0.75,0.25,0.0
BUL,Bulgaria,1968 Summer,1968,1653.173,110,13,68,1.618,24.0,176.0,72.0,1,1,0,1,26,2,21,3,0.115,0.808,0.077
CAN,Canada,1968 Summer,1968,1681.416,137,14,124,1.105,23.0,176.0,71.0,1,1,0,1,10,3,3,4,0.4,0.3,0.3
CHI,Chile,1968 Summer,1968,460.826,19,4,19,1.0,24.0,174.0,70.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
CIV,Ivory Coast,1968 Summer,1968,6120.134,8,2,7,1.143,28.5,177.5,71.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
CUB,Cuba,1968 Summer,1968,969.002,115,13,78,1.474,22.0,173.0,72.0,1,1,0,1,10,0,10,0,0.0,1.0,0.0
EGY,Egypt,1968 Summer,1968,258.386,21,4,12,1.75,22.0,178.0,78.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ESP,Spain,1968 Summer,1968,3311.333,109,12,48,2.271,23.0,177.0,73.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ETH,Ethiopia,1968 Summer,1968,488.859,18,3,13,1.385,27.0,173.0,61.0,1,1,0,1,2,1,1,0,0.0,0.5,0.5
FIN,Finland,1968 Summer,1968,4573.157,66,13,61,1.082,24.0,176.0,73.0,1,1,0,1,4,1,2,1,0.25,0.5,0.25
FRA,France,1968 Summer,1968,1574.876,199,16,107,1.86,24.0,176.0,71.0,1,1,0,1,27,12,5,10,0.37,0.185,0.444
GBR,UK,1968 Summer,1968,2204.571,221,16,133,1.662,24.0,178.0,70.0,1,1,0,1,18,8,5,5,0.278,0.278,0.444
GHA,Ghana,1968 Summer,1968,2901.557,31,3,18,1.722,26.0,170.0,67.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
HUN,Hungary,1968 Summer,1968,1552.764,166,15,116,1.431,25.0,176.0,74.0,1,1,0,1,81,32,20,29,0.358,0.247,0.395
INA,Indonesia,1968 Summer,1968,395.903,6,2,5,1.2,33.5,168.0,71.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
IND,India,1968 Summer,1968,1164.626,23,5,11,2.091,24.0,173.0,68.0,1,1,0,1,16,0,0,16,1.0,0.0,0.0
IRI,Iran,1968 Summer,1968,512.427,13,3,13,1.0,25.0,174.0,68.0,1,1,0,1,5,2,1,2,0.4,0.2,0.4
IRQ,Iraq,1968 Summer,1968,604.283,3,3,4,0.75,26.0,171.0,63.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ISR,Israel,1968 Summer,1968,2165.5,29,4,20,1.45,22.0,175.0,71.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ITA,Italy,1968 Summer,1968,1530.757,166,17,103,1.612,25.0,177.0,72.0,1,1,0,1,32,5,8,19,0.594,0.25,0.156
JPN,Japan,1968 Summer,1968,1980.357,171,18,97,1.763,24.0,170.0,66.0,1,1,0,1,63,16,25,22,0.349,0.397,0.254
KEN,Kenya,1968 Summer,1968,1475.073,36,4,20,1.8,23.0,173.0,64.0,1,1,0,1,10,3,5,2,0.2,0.5,0.3
KOR,South Korea,1968 Summer,1968,4331.678,51,11,40,1.275,23.0,170.0,65.0,1,1,0,1,2,0,1,1,0.5,0.5,0.0
MAR,Morocco,1968 Summer,1968,6466.502,15,4,9,1.667,24.0,180.0,74.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
MEX,Mexico,1968 Summer,1968,2709.121,271,20,146,1.856,22.0,174.0,68.0,1,1,1,1,9,3,3,3,0.333,0.333,0.333
NCA,Nicaragua,1968 Summer,1968,1400.95,11,3,15,0.733,22.0,168.0,60.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
NED,Netherlands,1968 Summer,1968,823.141,107,11,52,2.058,24.0,181.0,78.0,1,1,0,1,14,6,7,1,0.071,0.5,0.429
NGR,Nigeria,1968 Summer,1968,567.845,36,3,18,2.0,23.0,172.0,66.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
NOR,Norway,1968 Summer,1968,1031.794,46,11,36,1.278,23.0,180.0,77.0,1,1,0,1,6,4,2,0,0.0,0.333,0.667
NZL,New Zealand,1968 Summer,1968,809.529,52,8,26,2.0,25.0,178.0,78.0,1,1,0,1,7,5,0,2,0.286,0.0,0.714
PAK,Pakistan,1968 Summer,1968,829.229,15,2,3,5.0,25.0,170.0,71.0,1,1,0,1,13,13,0,0,0.0,0.0,1.0
PAN,Panama,1968 Summer,1968,1567.889,16,3,5,3.2,24.5,189.0,79.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PER,Peru,1968 Summer,1968,209.021,28,8,21,1.333,22.5,171.5,72.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
POL,Poland,1968 Summer,1968,2667.541,177,16,112,1.58,25.0,176.0,72.0,1,1,0,1,37,5,2,30,0.811,0.054,0.135
POR,Portugal,1968 Summer,1968,1235.613,20,6,24,0.833,27.5,173.5,69.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PUR,Puerto Rico,1968 Summer,1968,1159.332,58,10,54,1.074,24.0,176.5,75.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ROU,Romania,1968 Summer,1968,1931.027,82,9,64,1.281,25.0,176.0,75.0,1,1,0,1,23,5,9,9,0.391,0.391,0.217
SLE,Sierra Leone,1968 Summer,1968,35.769,3,2,4,0.75,28.0,177.0,73.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SMR,San Marino,1968 Summer,1968,62.1,4,2,2,2.0,28.5,167.0,71.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SRI,Sri Lanka,1968 Summer,1968,36.144,3,3,3,1.0,26.0,170.0,50.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SUI,Switzerland,1968 Summer,1968,2429.098,85,12,68,1.25,26.0,179.0,77.0,1,1,0,1,13,0,3,10,0.769,0.231,0.0
SWE,Sweden,1968 Summer,1968,1058.548,100,13,95,1.053,24.0,180.0,72.0,1,1,0,1,9,4,4,1,0.111,0.444,0.444
TCH,Czech Republic,1968 Summer,1968,1509.573,121,14,66,1.833,25.0,177.0,73.0,1,1,0,1,29,7,7,15,0.517,0.241,0.241
