NOC,Region,Games,Year,GDP (Avg),Athletes,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,M/F,Summer,Home_Field Adv,Medaled,Total Medals,Gold,Silver,Bronze,% Medal Bronze,% Medal Silver,% Medal Gold
EGY,Egypt,2016 Summer,2016,1572.308,118,23,84,1.405,24.0,176.0,77.0,1,1,0,1,3,0,0,3,1.0,0.0,0.0
ESP,Spain,2016 Summer,2016,1344.216,306,28,146,2.096,27.0,176.0,69.0,1,1,0,1,45,9,19,17,0.378,0.422,0.2
EST,Estonia,2016 Summer,2016,719.077,46,13,31,1.484,27.0,180.5,75.0,1,1,0,1,4,0,0,4,1.0,0.0,0.0
ETH,Ethiopia,2016 Summer,2016,3272.151,36,3,16,2.25,23.0,168.0,53.5,1,1,0,1,8,1,2,5,0.625,0.25,0.125
FIN,Finland,2016 Summer,2016,1489.845,53,16,54,0.981,27.0,173.0,66.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
FRA,France,2016 Summer,2016,1142.445,391,32,202,1.936,27.0,178.0,70.0,1,1,0,1,96,20,55,21,0.219,0.573,0.208
GBR,UK,2016 Summer,2016,1061.993,353,26,195,1.81,26.0,178.0,71.0,1,1,0,1,143,63,55,25,0.175,0.385,0.441
GER,Germany,2016 Summer,2016,2045.011,417,29,217,1.922,26.0,179.0,72.0,1,1,0,1,159,49,43,67,0.421,0.27,0.308
GHA,Ghana,2016 Summer,2016,452.671,8,3,7,1.143,25.5,168.0,60.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
GRE,Greece,2016 Summer,2016,755.178,91,16,64,1.422,25.0,180.0,73.0,1,1,0,1,7,3,1,3,0.429,0.143,0.429
GUM,Guam,2016 Summer,2016,259.94,5,3,5,1.0,20.0,170.0,70.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
HUN,Hungary,2016 Summer,2016,2934.162,153,20,113,1.354,27.0,178.0,75.0,1,1,0,1,22,12,3,7,0.318,0.136,0.545
INA,Indonesia,2016 Summer,2016,3415.552,28,7,20,1.4,26.0,167.0,66.5,1,1,0,1,4,2,2,0,0.0,0.5,0.5
IND,India,2016 Summer,2016,1377.152,104,15,63,1.651,25.0,171.5,64.0,1,1,0,1,2,0,1,1,0.5,0.5,0.0
IRI,Iran,2016 Summer,2016,2398.183,63,15,46,1.37,27.0,181.0,82.0,1,1,0,1,8,3,1,4,0.5,0.125,0.375
IRQ,Iraq,2016 Summer,2016,1689.622,20,5,5,4.0,22.0,179.0,75.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ISR,Israel,2016 Summer,2016,1077.321,47,16,45,1.044,25.0,171.0,62.0,1,1,0,1,2,0,0,2,1.0,0.0,0.0
ITA,Italy,2016 Summer,2016,1083.156,309,26,171,1.807,27.0,177.0,70.0,1,1,0,1,72,8,40,24,0.333,0.556,0.111
JOR,Jordan,2016 Summer,2016,3056.824,8,6,8,1.0,21.0,175.0,67.5,1,1,0,1,1,1,0,0,0.0,0.0,1.0
JPN,Japan,2016 Summer,2016,1475.873,335,32,186,1.801,25.0,170.0,63.0,1,1,0,1,64,17,13,34,0.531,0.203,0.266
KEN,Kenya,2016 Summer,2016,3368.641,73,7,28,2.607,26.0,168.0,61.0,1,1,0,1,12,6,6,0,0.0,0.5,0.5
KOR,South Korea,2016 Summer,2016,1806.382,206,26,113,1.823,25.0,173.0,66.0,1,1,0,1,26,13,3,10,0.385,0.115,0.5
KSA,Saudi Arabia,2016 Summer,2016,1827.361,10,5,10,1.0,24.0,168.5,67.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
MAR,Morocco,2016 Summer,2016,821.564,48,13,39,1.231,25.5,173.0,62.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
MDV,Maldives,2016 Summer,2016,4037.65,3,2,3,1.0,22.0,157.0,50.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
MEX,Mexico,2016 Summer,2016,1107.345,123,27,80,1.538,25.0,174.0,68.0,1,1,0,1,5,0,3,2,0.4,0.6,0.0
